,countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,country,pdi,idv,mas,uai,ltowvs,ivr,casesPop,logCasesPop,logCasesMPop
72,Hong Kong,HKG,2020-04-15,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,Hong Kong,68.0,25.0,57.0,29.0,61.0,17.0,0.0001360000032094396,-8.902855648629401,4.912654885736052
73,Guatemala,GTM,2020-04-15,196,5.0,19.0,172,3.0,11.0,0.3,7000.0,391.0,17818182,Guatemala,95.0,6.0,37.0,101.0,,,1.0999999887755103e-05,-11.417615295369986,2.3978952727983707
74,Greece,GRC,2020-04-15,2192,102.0,269.0,1821,72.0,210.0,10.0,50771.0,4871.0,10438095,Greece,60.0,35.0,57.0,112.0,45.0,50.0,0.0002100000047901461,-8.468403004436587,5.3471075307174685
75,Ghana,GHA,2020-04-15,641,8.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0,30523810,Ghana,80.0,15.0,40.0,65.0,4.0,72.0,2.09999996723869e-05,-10.770988135841476,3.044522437723423
76,Georgia,GEO,2020-04-15,306,3.0,71.0,232,6.0,77.0,0.8,5027.0,1260.0,3974026,Georgia,,,,,38.0,32.0,7.699999949673203e-05,-9.471705142646538,4.343805421853684
77,UK,GBR,2020-04-15,98476,12868.0,,85264,1559.0,1451.0,190.0,398916.0,5876.0,67867677,Great Britain,35.0,89.0,66.0,35.0,51.0,69.0,0.0014510000099163553,-6.535502298245934,7.280008252884188
78,France,FRA,2020-04-15,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,France,68.0,71.0,43.0,86.0,63.0,48.0,0.0022649999897367836,-6.090180524578361,7.725330037917135
79,Fiji,FJI,2020-04-15,16,,,16,,18.0,,,,888889,Fiji,78.0,14.0,46.0,48.0,,,1.799999775000028e-05,-10.9251389250681,2.8903717578961645
80,Finland,FIN,2020-04-15,3237,72.0,300.0,2865,75.0,584.0,13.0,48828.0,8813.0,5542808,Finland,33.0,63.0,26.0,59.0,38.0,57.0,0.0005840000230929882,-7.44560953559326,6.369900982828227
81,Ethiopia,ETH,2020-04-15,85,3.0,15.0,67,,0.7,0.03,4988.0,43.0,121428571,Ethiopia,70.0,20.0,65.0,55.0,,46.0,7.000000024705883e-07,-14.172185498373594,-0.35667494393873245
